"Serial","ID","Asset Number"
"G7X1C7VQWD","SC211","จักราชวิทยา_SC211"
"HQWRWMV2YK","SC125","จักราชวิทยา_SC125"
"C3QF4Q9R25","SC91","จักราชวิทยา_SC91"
"C21G691P44","SC323","จักราชวิทยา_SC323"
"M4GQ4J2PJG","SC902","จักราชวิทยา_SC902"
"J1QGYL6LQR","SC996","จักราชวิทยา_SC996"
"K0DKL4GFQR","TC118","จักราชวิทยา_TC118"
"M2J3GC44C3","TC92","จักราชวิทยา_TC92"
"CL7VL4R6HV","SC928","จักราชวิทยา_SC928"
"J64YCF02D6","SC1102","จักราชวิทยา_SC1102"
"DQ167P7VDL","SC287","จักราชวิทยา_SC287"
"GVYGRXD9W4","SC1062","จักราชวิทยา_SC1062"
"H2FLW2V6WH","SC124","จักราชวิทยา_SC124"
"HH4GH90QJ4","SC567","จักราชวิทยา_SC567"
"M2C217TNQ7","SC832","จักราชวิทยา_SC832"
"LF4GJ33KF4","SC103","จักราชวิทยา_SC103"
"H7V7HGHX20","SC895","จักราชวิทยา_SC895"
"KD72K50QT2","TC51","จักราชวิทยา_TC51"
"L3R93XY6QW","SC817","จักราชวิทยา_SC817"
"MHK34H2KWH","SC655","จักราชวิทยา_SC655"
"FL64Y2J71H","SC171","จักราชวิทยา_SC171"
"CH4HGGWQ9J","SC619","จักราชวิทยา_SC619"
"C4T9QTJFC3","SC827","จักราชวิทยา_SC827"
"H6V03C211Q","SC219","จักราชวิทยา_SC219"
"F6HF0WPW9X","SC838","จักราชวิทยา_SC838"
"H0XQW64FYF","SC1015","จักราชวิทยา_SC1015"
"F52670NP9R","SC982","จักราชวิทยา_SC982"
"FMYHL0JDQV","SC1070","จักราชวิทยา_SC1070"
"JQXN7FD761","SC431","จักราชวิทยา_SC431"
"DJ6LPWJQ64","SC834","จักราชวิทยา_SC834"
"C6XCHXL2KR","SC920","จักราชวิทยา_SC920"
"MJWPH0X274","SC886","จักราชวิทยา_SC886"
"FQJ4Q0F462","SC751","จักราชวิทยา_SC751"
"L92PYHMQTK","SC762","จักราชวิทยา_SC762"
"F735H79MTC","SC891","จักราชวิทยา_SC891"
"D22G3FHX4L","SC637","จักราชวิทยา_SC637"
"LGV74K7T6P","SC192","จักราชวิทยา_SC192"
"D09JYJ71C7","SC652","จักราชวิทยา_SC652"
"MJ4CQMX6M2","SC712","จักราชวิทยา_SC712"
"G99377NQH4","SC112","จักราชวิทยา_SC112"
"F07Y26VGKX","TC34","จักราชวิทยา_TC34"
"KQGQTC93FJ","TC97","จักราชวิทยา_TC97"
"D9FR26K75N","SC574","จักราชวิทยา_SC574"
"LRHQY7XJW4","SC28","จักราชวิทยา_SC28"
"FVQ03W79F5","TC120","จักราชวิทยา_TC120"
"G7R9GWQQ0L","SC900","จักราชวิทยา_SC900"
"GFVKGJWQM0","SC841","จักราชวิทยา_SC841"
"GQNKCRXTX6","SC566","จักราชวิทยา_SC566"
"FG40N79WPQ","SC107","จักราชวิทยา_SC107"
"J31RQWLQGH","SC230","จักราชวิทยา_SC230"
"M96XQX3RTJ","SC647","จักราชวิทยา_SC647"
"K6122XP3KW","SC846","จักราชวิทยา_SC846"
"FVLK2R7JYF","SC872","จักราชวิทยา_SC872"
"GY4Y7MVNCN","SC164","จักราชวิทยา_SC164"
